"Parameter","Year","Age","ParamName","median","lCI","uCI"
"L[4, 13]",2016,"3","L",26,5,78
"L[4, 14]",2017,"3","L",76,32,180
"L[4, 15]",2018,"3","L",252,127,541
"L[4, 16]",2019,"3","L",67,26,169
"L[4, 17]",2020,"3","L",31,7,100
"L[4, 18]",2021,"3","L",44,12,132
"L[4, 19]",2022,"3","L",64,22,168
"L[4, 1]",2004,"3","L",0,0,0
"L[4, 20]",2023,"3","L",41,9,125
"L[4, 21]",2024,"3","L",34,7,100
"L[4, 2]",2005,"3","L",112,55,263
"L[4, 3]",2006,"3","L",64,28,156
"L[4, 4]",2007,"3","L",14,1,46
"L[4, 5]",2008,"3","L",58,23,151
"L[4, 6]",2009,"3","L",38,13,95
"L[4, 7]",2010,"3","L",83,36,186
"L[4, 8]",2011,"3","L",52,20,135
"L[4, 9]",2012,"3","L",53,20,137
"L[5, 10]",2013,"4+","L",48,18,117
"L[5, 11]",2014,"4+","L",100,46,220
"L[5, 12]",2015,"4+","L",174,87,396
"L[5, 13]",2016,"4+","L",145,70,333
"L[5, 14]",2017,"4+","L",79,35,174
"L[5, 15]",2018,"4+","L",146,71,294
"L[5, 16]",2019,"4+","L",222,120,442
"L[5, 17]",2020,"4+","L",112,48,266
"L[5, 18]",2021,"4+","L",68,27,161
"L[5, 19]",2022,"4+","L",72,27,176
"L[5, 1]",2004,"4+","L",0,0,0
"L[5, 20]",2023,"4+","L",113,45,302
"L[5, 21]",2024,"4+","L",58,16,163
"L[5, 2]",2005,"4+","L",83,40,191
"L[5, 3]",2006,"4+","L",125,63,283
"L[5, 4]",2007,"4+","L",105,47,260
"L[5, 5]",2008,"4+","L",89,40,211
"L[5, 6]",2009,"4+","L",53,22,113
"L[5, 7]",2010,"4+","L",62,28,130
"L[5, 8]",2011,"4+","L",133,64,308
"L[5, 9]",2012,"4+","L",107,51,257
"Mu.Psi[1]",NA,"0","Mu.Psi",0,0,0
"Mu.Psi[2]",NA,"1","Mu.Psi",0.467500974075269,0.359276897209514,0.575821046728596
"Mu.Psi[3]",NA,"2","Mu.Psi",0.686378154307131,0.566887851116674,0.788553693072018
"Mu.Psi[4]",NA,"3","Mu.Psi",0.84918392611057,0.742963049055961,0.920940886150334
"Mu.Psi[5]",NA,"4+","Mu.Psi",0.856631783740691,0.763635301639542,0.922239236628952
"Mu.S0",NA,NA,"Mu.S0",0.708174719284208,0.511707572734633,0.936590089342629
"Mu.S[1]",NA,"0","Mu.S",0.280211907458488,0.169559655378045,0.456265722153603
"Mu.S[2]",NA,"1","Mu.S",0.573793008749865,0.404451672949633,0.759032288839304
"Mu.S[3]",NA,"2","Mu.S",0.560213410909514,0.426964352770636,0.717513407010445
"Mu.S[4]",NA,"3","Mu.S",0.374024277958278,0.200455009028843,0.586416024452908
"Mu.S[5]",NA,"4+","Mu.S",0.592864085451682,0.517058622039524,0.665254292530585
"Mu.Snat[1]",NA,"0","Mu.Snat",0.352212020397669,0.219771869143311,0.54222128993188
"Mu.Snat[2]",NA,"1","Mu.Snat",0.777584487394951,0.553275656458668,0.970610049455889
"Mu.Snat[3]",NA,"2","Mu.Snat",0.760066121313025,0.553357202509729,0.966735265250513
"Mu.Snat[4]",NA,"3","Mu.Snat",0.505790414921329,0.264712247633205,0.784906814965962
"Mu.Snat[5]",NA,"4+","Mu.Snat",0.799680855704254,0.651730572250524,0.952758211898441
